,spy_branch,injector_branch,misprediction_rate
0,0,0,0.27
1,1,1,0.255
2,2,2,0.245
3,3,3,0.229
4,4,4,0.24
5,5,5,0.244
6,6,6,0.242
7,7,7,0.237
8,8,8,0.247
9,9,9,0.233
10,10,10,0.246
11,11,11,0.258
12,12,12,0.2545
13,13,13,0.243
14,14,14,0.236
15,15,15,0.244
16,16,16,0.256
17,17,17,0.241
18,18,18,0.2395
19,19,19,0.2395
20,20,20,0.244
21,21,21,0.2455
22,22,22,0.23
23,23,23,0.239
24,24,24,0.253
25,25,25,0.255
26,26,26,0.2495
27,27,27,0.245
28,28,28,0.246
29,29,29,0.251
30,30,30,0.236
31,31,31,0.251
32,32,32,0.245
33,33,33,0.2565
34,34,34,0.2525
35,35,35,0.251
36,36,36,0.2495
37,37,37,0.251
38,38,38,0.2645
39,39,39,0.247
40,40,40,0.246
41,41,41,0.2425
42,42,42,0.232
43,43,43,0.235
44,44,44,0.241
45,45,45,0.247
46,46,46,0.247
47,47,47,0.252
48,48,48,0.254
49,49,49,0.252
50,50,50,0.238
51,51,51,0.234
52,52,52,0.228
53,53,53,0.242
54,54,54,0.245
55,55,55,0.246
56,56,56,0.247
57,57,57,0.247
58,58,58,0.2435
59,59,59,0.252
60,60,60,0.254
61,61,61,0.254
62,62,62,0.251
63,63,63,0.233
64,64,64,0.2335
65,65,65,0.238
66,66,66,0.234
67,67,67,0.237
68,68,68,0.243
69,69,69,0.246
70,70,70,0.2465
71,71,71,0.25
72,72,72,0.252
73,73,73,0.2535
74,74,74,0.254
75,75,75,0.254
76,76,76,0.254
77,77,77,0.255
78,78,78,0.254
79,79,79,0.251
80,80,80,0.244
81,81,81,0.241
82,82,82,0.245
83,83,83,0.249
84,84,84,0.25
85,85,85,0.252
86,86,86,0.251
87,87,87,0.249
88,88,88,0.256
89,89,89,0.256
90,90,90,0.245
91,91,91,0.253
92,92,92,0.2505
93,93,93,0.499
94,94,94,0.497
95,95,95,0.493
96,96,96,0.493
97,97,97,0.491
98,98,98,0.499
99,99,99,0.484
100,100,100,0.46
101,101,101,0.458
102,102,102,0.459
103,103,103,0.46
104,104,104,0.461
105,105,105,0.489
106,106,106,0.494
107,107,107,0.4895
108,108,108,0.488
109,109,109,0.499
110,110,110,0.497
111,111,111,0.4895
112,112,112,0.501
113,113,113,0.497
114,114,114,0.498
115,115,115,0.4955
116,116,116,0.5
117,117,117,0.493
118,118,118,0.497
119,119,119,0.499
120,120,120,0.472
121,121,121,0.496
122,122,122,0.498
123,123,123,0.495
124,124,124,0.495
125,125,125,0.497
126,126,126,0.498
127,127,127,0.498
128,128,128,0.496
129,129,129,0.496
130,130,130,0.496
131,131,131,0.4955
132,132,132,0.497
133,133,133,0.497
134,134,134,0.499
135,135,135,0.496
136,136,136,0.504
137,137,137,0.5
138,138,138,0.498
139,139,139,0.482
140,140,140,0.496
141,141,141,0.496
142,142,142,0.496
143,143,143,0.494
144,144,144,0.474
145,145,145,0.497
146,146,146,0.497
147,147,147,0.4965
148,148,148,0.496
149,149,149,0.496
150,150,150,0.498
